author,published_at,text,clean_text,case_fold_text,punctuation_text,normalized_text,tokens,text_stemmed
@kamerafilem,2025-10-05T10:24:20Z,Korupsi itu,Korupsi itu,korupsi itu,korupsi itu,korupsi itu,"['korupsi', 'itu']","['korupsi', 'itu']"
@AlanWall-z7d,2025-10-05T08:33:47Z,Papua gak ada keracunan,Papua gak ada keracunan,papua gak ada keracunan,papua gak ada keracunan,papua tidak ada keracunan,"['papua', 'tidak', 'ada', 'keracunan']","['papua', 'tidak', 'ada', 'racun']"
@ReyyYessir,2025-10-05T07:42:15Z,mbg:MAKAN BHABI GULING,mbg:MAKAN BHABI GULING,mbg:makan bhabi guling,mbgmakan bhabi guling,mbgmakan bhabi guling,"['mbgmakan', 'bhabi', 'guling']","['mbgmakan', 'bhabi', 'guling']"
@hatahalintar,2025-10-05T07:36:01Z,Maaf ya <br><br><br><br><br>Untung gua orang bali,Maaf ya Untung gua orang bali,maaf ya untung gua orang bali,maaf ya untung gua orang bali,maaf ya untung aku orang bali,"['maaf', 'ya', 'untung', 'aku', 'orang', 'bali']","['maaf', 'ya', 'untung', 'aku', 'orang', 'bal']"
@oki99x,2025-10-05T07:30:57Z,Hentikan saja program MBG cuma buang² anggaran. Dulu gw sekolah di SD negeri gak dapat MBG bisa sehat dan lulus,Hentikan saja program MBG cuma buang² anggaran. Dulu gw sekolah di SD negeri gak dapat MBG bisa sehat dan lulus,hentikan saja program mbg cuma buang² anggaran. dulu gw sekolah di sd negeri gak dapat mbg bisa sehat dan lulus,hentikan saja program mbg cuma buang² anggaran dulu gw sekolah di sd negeri gak dapat mbg bisa sehat dan lulus,hentikan saja program mbak hanya buang² anggaran dulu aku sekolah di sd negeri tidak dapat mbak bisa sehat dan lulus,"['hentikan', 'saja', 'program', 'mbak', 'hanya', 'buang²', 'anggaran', 'dulu', 'aku', 'sekolah', 'di', 'sd', 'negeri', 'tidak', 'dapat', 'mbak', 'bisa', 'sehat', 'dan', 'lulus']","['henti', 'saja', 'program', 'mbak', 'hanya', 'buang', 'anggar', 'dulu', 'aku', 'sekolah', 'di', 'sd', 'negeri', 'tidak', 'dapat', 'mbak', 'bisa', 'sehat', 'dan', 'lulus']"
@aguszulkarnain-vq8bv,2025-10-05T07:30:04Z,knapa mbg yg keracunan ngga di selidiki ke dapur nya biar tau gimna kondisinya,knapa mbg yg keracunan ngga di selidiki ke dapur nya biar tau gimna kondisinya,knapa mbg yg keracunan ngga di selidiki ke dapur nya biar tau gimna kondisinya,knapa mbg yg keracunan ngga di selidiki ke dapur nya biar tau gimna kondisinya,knapa mbak yang keracunan tidak di selidiki ke dapur ya biar tau bagaimana kondisinya,"['knapa', 'mbak', 'yang', 'keracunan', 'tidak', 'di', 'selidiki', 'ke', 'dapur', 'ya', 'biar', 'tau', 'bagaimana', 'kondisinya']","['knapa', 'mbak', 'yang', 'racun', 'tidak', 'di', 'selidik', 'ke', 'dapur', 'ya', 'biar', 'tau', 'bagaimana', 'kondisi']"
@SltnTempest01.,2025-10-05T07:15:38Z,"Jangan salahin program nya, salahin pihak megang program tersebut yg ada di suatu daerah tersebut yahh kayak pengawasnya gitu lahh, yaaa kayak yg diomongin abangnya ini di akhir video, pastinya banyak yg masuk kantong itu, dasar dikasih tanggung jawab malah di korup","Jangan salahin program nya, salahin pihak megang program tersebut yg ada di suatu daerah tersebut yahh kayak pengawasnya gitu lahh, yaaa kayak yg diomongin abangnya ini di akhir video, pastinya banyak yg masuk kantong itu, dasar dikasih tanggung jawab malah di korup","jangan salahin program nya, salahin pihak megang program tersebut yg ada di suatu daerah tersebut yahh kayak pengawasnya gitu lahh, yaaa kayak yg diomongin abangnya ini di akhir video, pastinya banyak yg masuk kantong itu, dasar dikasih tanggung jawab malah di korup",jangan salahin program nya salahin pihak megang program tersebut yg ada di suatu daerah tersebut yahh kayak pengawasnya gitu lahh yaaa kayak yg diomongin abangnya ini di akhir video pastinya banyak yg masuk kantong itu dasar dikasih tanggung jawab malah di korup,jangan salahkan program ya salahkan pihak memegang program tersebut yang ada di suatu daerah tersebut ya seperti pengawasnya begitu lah ya seperti yang diomongin abangnya ini di akhir video pastinya banyak yang masuk kantong itu dasar dikasih tanggung jawab malah di korup,"['jangan', 'salahkan', 'program', 'ya', 'salahkan', 'pihak', 'memegang', 'program', 'tersebut', 'yang', 'ada', 'di', 'suatu', 'daerah', 'tersebut', 'ya', 'seperti', 'pengawasnya', 'begitu', 'lah', 'ya', 'seperti', 'yang', 'diomongin', 'abangnya', 'ini', 'di', 'akhir', 'video', 'pastinya', 'banyak', 'yang', 'masuk', 'kantong', 'itu', 'dasar', 'dikasih', 'tanggung', 'jawab', 'malah', 'di', 'korup']","['jangan', 'salah', 'program', 'ya', 'salah', 'pihak', 'pegang', 'program', 'sebut', 'yang', 'ada', 'di', 'suatu', 'daerah', 'sebut', 'ya', 'seperti', 'awas', 'begitu', 'lah', 'ya', 'seperti', 'yang', 'diomongin', 'abang', 'ini', 'di', 'akhir', 'video', 'pasti', 'banyak', 'yang', 'masuk', 'kantong', 'itu', 'dasar', 'kasih', 'tanggung', 'jawab', 'malah', 'di', 'korup']"
@NBcreat25,2025-10-05T06:13:02Z,Disclaimer kagak gratis ya.. itu bayar pake pajak emak bapak nya,Disclaimer kagak gratis ya.. itu bayar pake pajak emak bapak nya,disclaimer kagak gratis ya.. itu bayar pake pajak emak bapak nya,disclaimer kagak gratis ya itu bayar pake pajak emak bapak nya,disclaimer kagak gratis ya itu bayar pakai pajak ibu bapak ya,"['disclaimer', 'kagak', 'gratis', 'ya', 'itu', 'bayar', 'pakai', 'pajak', 'ibu', 'bapak', 'ya']","['disclaimer', 'kagak', 'gratis', 'ya', 'itu', 'bayar', 'pakai', 'pajak', 'ibu', 'bapak', 'ya']"
@neysa_cute-t3k,2025-10-05T06:08:46Z,Aku mah gaada racunnya soalnya waktu bulan puasa dikasih makanan gratis nya,Aku mah gaada racunnya soalnya waktu bulan puasa dikasih makanan gratis nya,aku mah gaada racunnya soalnya waktu bulan puasa dikasih makanan gratis nya,aku mah gaada racunnya soalnya waktu bulan puasa dikasih makanan gratis nya,aku mah tidak ada racunnya soalnya waktu bulan puasa dikasih makanan gratis ya,"['aku', 'mah', 'tidak', 'ada', 'racunnya', 'soalnya', 'waktu', 'bulan', 'puasa', 'dikasih', 'makanan', 'gratis', 'ya']","['aku', 'mah', 'tidak', 'ada', 'racun', 'soal', 'waktu', 'bulan', 'puasa', 'kasih', 'makan', 'gratis', 'ya']"
@빈탕_그크엔텡,2025-10-05T05:02:03Z,ingat B nya apa  BERACUN,ingat B nya apa  BERACUN,ingat b nya apa  beracun,ingat b nya apa  beracun,ingat b ya apa beracun,"['ingat', 'b', 'ya', 'apa', 'beracun']","['ingat', 'b', 'ya', 'apa', 'racun']"
