author,published_at,text,clean_text,case_fold_text,punctuation_text,normalized_text,tokens,text_stemmed
@catcuteofficial5388,2025-09-27T00:26:17Z,Program gagal parah,Program gagal parah,program gagal parah,program gagal parah,program gagal parah,"['program', 'gagal', 'parah']","['program', 'gagal', 'parah']"
@gambit1312-v5d,2025-09-27T00:26:15Z,Diam-diam pemerintah membunuh generasi muda dengan meracuni makanan mereka ??? Negara sebesar Amerika Serikat dan Rusia tidak seperti di Konoha ini.,Diam-diam pemerintah membunuh generasi muda dengan meracuni makanan mereka ??? Negara sebesar Amerika Serikat dan Rusia tidak seperti di Konoha ini.,diam-diam pemerintah membunuh generasi muda dengan meracuni makanan mereka ??? negara sebesar amerika serikat dan rusia tidak seperti di konoha ini.,diamdiam pemerintah membunuh generasi muda dengan meracuni makanan mereka  negara sebesar amerika serikat dan rusia tidak seperti di konoha ini,diamdiam pemerintah membunuh generasi muda dengan meracuni makanan mereka negara sebesar amerika serikat dan rusia tidak seperti di konoha ini,"['diamdiam', 'pemerintah', 'membunuh', 'generasi', 'muda', 'dengan', 'meracuni', 'makanan', 'mereka', 'negara', 'sebesar', 'amerika', 'serikat', 'dan', 'rusia', 'tidak', 'seperti', 'di', 'konoha', 'ini']","['diamdiam', 'perintah', 'bunuh', 'generasi', 'muda', 'dengan', 'racun', 'makan', 'mereka', 'negara', 'besar', 'amerika', 'serikat', 'dan', 'rusia', 'tidak', 'seperti', 'di', 'konoha', 'ini']"
@moonstarr7537,2025-09-27T00:24:56Z,"Kang aku jadi curiga,ini dark sistem versi politik. Mungkin sebener nya tuh MBG dah bener, tapi bisa rusak karena ada 2 kemungkinan : <br>1. Ada tikus2 yang menggerogoti<br>2. Ada sosok di balik layar ,yang memang ingin menjatihkan. 🤫","Kang aku jadi curiga,ini dark sistem versi politik. Mungkin sebener nya tuh MBG dah bener, tapi bisa rusak karena ada  kemungkinan : . Ada tikus yang menggerogoti. Ada sosok di balik layar ,yang memang ingin menjatihkan. ","kang aku jadi curiga,ini dark sistem versi politik. mungkin sebener nya tuh mbg dah bener, tapi bisa rusak karena ada  kemungkinan : . ada tikus yang menggerogoti. ada sosok di balik layar ,yang memang ingin menjatihkan. ",kang aku jadi curigaini dark sistem versi politik mungkin sebener nya tuh mbg dah bener tapi bisa rusak karena ada  kemungkinan   ada tikus yang menggerogoti ada sosok di balik layar yang memang ingin menjatihkan ,kang aku jadi curigaini dark sistem versi politik mungkin sebener ya itu mbak sudah benar tapi bisa rusak karena ada kemungkinan ada tikus yang menggerogoti ada sosok di balik layar yang memang ingin menjatihkan,"['kang', 'aku', 'jadi', 'curigaini', 'dark', 'sistem', 'versi', 'politik', 'mungkin', 'sebener', 'ya', 'itu', 'mbak', 'sudah', 'benar', 'tapi', 'bisa', 'rusak', 'karena', 'ada', 'kemungkinan', 'ada', 'tikus', 'yang', 'menggerogoti', 'ada', 'sosok', 'di', 'balik', 'layar', 'yang', 'memang', 'ingin', 'menjatihkan']","['kang', 'aku', 'jadi', 'curigaini', 'dark', 'sistem', 'versi', 'politik', 'mungkin', 'sebener', 'ya', 'itu', 'mbak', 'sudah', 'benar', 'tapi', 'bisa', 'rusak', 'karena', 'ada', 'mungkin', 'ada', 'tikus', 'yang', 'gerogot', 'ada', 'sosok', 'di', 'balik', 'layar', 'yang', 'memang', 'ingin', 'menjatihkan']"
@masdjambooel11,2025-09-27T00:23:46Z,"Ini program mengurangi angka kependudukan !!!<br>PERCAYALAH !!!<br><br>Btw mie gacoan bergizi ?<br>Mungkin maknanya sekarang bergeser, bukan &quot;bergizi&quot;....","Ini program mengurangi angka kependudukan !!!PERCAYALAH !!!Btw mie gacoan bergizi ?Mungkin maknanya sekarang bergeser, bukan bergizi....","ini program mengurangi angka kependudukan !!!percayalah !!!btw mie gacoan bergizi ?mungkin maknanya sekarang bergeser, bukan bergizi....",ini program mengurangi angka kependudukan percayalah btw mie gacoan bergizi mungkin maknanya sekarang bergeser bukan bergizi,ini program mengurangi angka kependudukan percayalah omong mie gacoan bergizi mungkin maknanya sekarang bergeser bukan bergizi,"['ini', 'program', 'mengurangi', 'angka', 'kependudukan', 'percayalah', 'omong', 'mie', 'gacoan', 'bergizi', 'mungkin', 'maknanya', 'sekarang', 'bergeser', 'bukan', 'bergizi']","['ini', 'program', 'kurang', 'angka', 'duduk', 'percaya', 'omong', 'mie', 'gaco', 'gizi', 'mungkin', 'makna', 'sekarang', 'geser', 'bukan', 'gizi']"
@taufiqandre8174,2025-09-27T00:23:26Z,Programnya bagus tp pelaksanaannya gak dikontrol,Programnya bagus tp pelaksanaannya gak dikontrol,programnya bagus tp pelaksanaannya gak dikontrol,programnya bagus tp pelaksanaannya gak dikontrol,programnya bagus tapi pelaksanaannya tidak dikontrol,"['programnya', 'bagus', 'tapi', 'pelaksanaannya', 'tidak', 'dikontrol']","['program', 'bagus', 'tapi', 'laksana', 'tidak', 'kontrol']"
@Vabosofficial,2025-09-27T00:23:04Z,Sekolaht teman ku dapet yang SD udah gitu menu nya enak pula lah aku yang sekolah mi belum dapet😒,Sekolaht teman ku dapet yang SD udah gitu menu nya enak pula lah aku yang sekolah mi belum dapet,sekolaht teman ku dapet yang sd udah gitu menu nya enak pula lah aku yang sekolah mi belum dapet,sekolaht teman ku dapet yang sd udah gitu menu nya enak pula lah aku yang sekolah mi belum dapet,sekolaht teman ku dapat yang sd sudah begitu menu ya enak pula lah aku yang sekolah mi belum dapat,"['sekolaht', 'teman', 'ku', 'dapat', 'yang', 'sd', 'sudah', 'begitu', 'menu', 'ya', 'enak', 'pula', 'lah', 'aku', 'yang', 'sekolah', 'mi', 'belum', 'dapat']","['sekolaht', 'teman', 'ku', 'dapat', 'yang', 'sd', 'sudah', 'begitu', 'menu', 'ya', 'enak', 'pula', 'lah', 'aku', 'yang', 'sekolah', 'mi', 'belum', 'dapat']"
@BpBp-t5w,2025-09-27T00:22:06Z,Beta buka gudang mbg nya hilang itu ko daging hiu mikir dong anjin9 daging hiu mana bisa dimakan kenapa GK sapi aja,Beta buka gudang mbg nya hilang itu ko daging hiu mikir dong anjin daging hiu mana bisa dimakan kenapa GK sapi aja,beta buka gudang mbg nya hilang itu ko daging hiu mikir dong anjin daging hiu mana bisa dimakan kenapa gk sapi aja,beta buka gudang mbg nya hilang itu ko daging hiu mikir dong anjin daging hiu mana bisa dimakan kenapa gk sapi aja,beta buka gudang mbak ya hilang itu kok daging hiu mikir dong anjin daging hiu mana bisa dimakan kenapa tidak sapi saja,"['beta', 'buka', 'gudang', 'mbak', 'ya', 'hilang', 'itu', 'kok', 'daging', 'hiu', 'mikir', 'dong', 'anjin', 'daging', 'hiu', 'mana', 'bisa', 'dimakan', 'kenapa', 'tidak', 'sapi', 'saja']","['beta', 'buka', 'gudang', 'mbak', 'ya', 'hilang', 'itu', 'kok', 'daging', 'hiu', 'mikir', 'dong', 'anjin', 'daging', 'hiu', 'mana', 'bisa', 'makan', 'kenapa', 'tidak', 'sapi', 'saja']"
@FakihRr,2025-09-27T00:20:26Z,Itutamler besi nya bang ada kimiya nya bang mangkan nya beracun,Itutamler besi nya bang ada kimiya nya bang mangkan nya beracun,itutamler besi nya bang ada kimiya nya bang mangkan nya beracun,itutamler besi nya bang ada kimiya nya bang mangkan nya beracun,itutamler besi ya kakak ada kimiya ya kakak mangkan ya beracun,"['itutamler', 'besi', 'ya', 'kakak', 'ada', 'kimiya', 'ya', 'kakak', 'mangkan', 'ya', 'beracun']","['itutamler', 'besi', 'ya', 'kakak', 'ada', 'kimiya', 'ya', 'kakak', 'mang', 'ya', 'racun']"
@suhita18826,2025-09-27T00:19:42Z,Makan bergizi gratis 15k itu udah kenyang dan lauknya Gedhe banget karena di daerah ku nasi Padang 13 k aja udah wah Banget,Makan bergizi gratis k itu udah kenyang dan lauknya Gedhe banget karena di daerah ku nasi Padang  k aja udah wah Banget,makan bergizi gratis k itu udah kenyang dan lauknya gedhe banget karena di daerah ku nasi padang  k aja udah wah banget,makan bergizi gratis k itu udah kenyang dan lauknya gedhe banget karena di daerah ku nasi padang  k aja udah wah banget,makan bergizi gratis ke itu sudah kenyang dan lauknya gedhe sekali karena di daerah ku nasi padang ke saja sudah wah sekali,"['makan', 'bergizi', 'gratis', 'ke', 'itu', 'sudah', 'kenyang', 'dan', 'lauknya', 'gedhe', 'sekali', 'karena', 'di', 'daerah', 'ku', 'nasi', 'padang', 'ke', 'saja', 'sudah', 'wah', 'sekali']","['makan', 'gizi', 'gratis', 'ke', 'itu', 'sudah', 'kenyang', 'dan', 'lauk', 'gedhe', 'sekali', 'karena', 'di', 'daerah', 'ku', 'nasi', 'padang', 'ke', 'saja', 'sudah', 'wah', 'sekali']"
@Tezz_gg,2025-09-27T00:16:55Z,Lah gw masih idup 🗿,Lah gw masih idup ,lah gw masih idup ,lah gw masih idup ,lah aku masih hidup,"['lah', 'aku', 'masih', 'hidup']","['lah', 'aku', 'masih', 'hidup']"
@m.zaenalabidin-hh5es,2025-09-27T00:15:46Z,makan bergizi gratis,makan bergizi gratis,makan bergizi gratis,makan bergizi gratis,makan bergizi gratis,"['makan', 'bergizi', 'gratis']","['makan', 'gizi', 'gratis']"
@BambangAstrajingga,2025-09-27T00:15:23Z,Makan beracun gratis 😅😅😅😅,Makan beracun gratis ,makan beracun gratis ,makan beracun gratis ,makan beracun gratis,"['makan', 'beracun', 'gratis']","['makan', 'racun', 'gratis']"
@nelsonshool612,2025-09-27T00:14:31Z,MBG(MAKAN BERGIZI GRATIS ××<br>MBG(MAKAN BERBAYAR GOIB✓😂,MBG(MAKAN BERGIZI GRATIS ××MBG(MAKAN BERBAYAR GOIB,mbg(makan bergizi gratis ××mbg(makan berbayar goib,mbgmakan bergizi gratis mbgmakan berbayar goib,mbgmakan bergizi gratis mbgmakan berbayar goib,"['mbgmakan', 'bergizi', 'gratis', 'mbgmakan', 'berbayar', 'goib']","['mbgmakan', 'gizi', 'gratis', 'mbgmakan', 'bayar', 'goib']"
@andryyani5309,2025-09-27T00:11:33Z,Di korupsi,Di korupsi,di korupsi,di korupsi,di korupsi,"['di', 'korupsi']","['di', 'korupsi']"
@MaterialBarracks,2025-09-27T00:11:08Z,Mending bontot😂,Mending bontot,mending bontot,mending bontot,mending bontot,"['mending', 'bontot']","['mending', 'bontot']"
@sinikaucuk,2025-09-27T00:10:59Z,Mbg di gua aman banget bg 😂,Mbg di gua aman banget bg ,mbg di gua aman banget bg ,mbg di gua aman banget bg ,mbak di aku aman sekali bang,"['mbak', 'di', 'aku', 'aman', 'sekali', 'bang']","['mbak', 'di', 'aku', 'aman', 'sekali', 'bang']"
@Wafi012,2025-09-27T00:10:25Z,"The problem :<br>1. Dana yang ter indikasi korupsi oleh pihak panitia (masuk kantong) <br>2. Pemerataan dapur untuk setiap sekolah (infrastruktur) agar MBG tidak basi<br>3. Yang masak tentu harus tahu gizi yang benar, dan mendata anak yang mungkin mempunyai alergi terhadap suatu bahan tertentu, transparansi pendanaan dan dapur MBG bisa di awasi publik / masyarakat <br>4. Di tetap kan standar porsi per anak seluruh Indonesia yang sesui untuk mencukupi gizi, bisa berubah menu asalkan tetap memenuhi gizi anak","The problem :. Dana yang ter indikasi korupsi oleh pihak panitia (masuk kantong) . Pemerataan dapur untuk setiap sekolah (infrastruktur) agar MBG tidak basi. Yang masak tentu harus tahu gizi yang benar, dan mendata anak yang mungkin mempunyai alergi terhadap suatu bahan tertentu, transparansi pendanaan dan dapur MBG bisa di awasi publik / masyarakat . Di tetap kan standar porsi per anak seluruh Indonesia yang sesui untuk mencukupi gizi, bisa berubah menu asalkan tetap memenuhi gizi anak","the problem :. dana yang ter indikasi korupsi oleh pihak panitia (masuk kantong) . pemerataan dapur untuk setiap sekolah (infrastruktur) agar mbg tidak basi. yang masak tentu harus tahu gizi yang benar, dan mendata anak yang mungkin mempunyai alergi terhadap suatu bahan tertentu, transparansi pendanaan dan dapur mbg bisa di awasi publik / masyarakat . di tetap kan standar porsi per anak seluruh indonesia yang sesui untuk mencukupi gizi, bisa berubah menu asalkan tetap memenuhi gizi anak",the problem  dana yang ter indikasi korupsi oleh pihak panitia masuk kantong  pemerataan dapur untuk setiap sekolah infrastruktur agar mbg tidak basi yang masak tentu harus tahu gizi yang benar dan mendata anak yang mungkin mempunyai alergi terhadap suatu bahan tertentu transparansi pendanaan dan dapur mbg bisa di awasi publik  masyarakat  di tetap kan standar porsi per anak seluruh indonesia yang sesui untuk mencukupi gizi bisa berubah menu asalkan tetap memenuhi gizi anak,sebuah masalah dana yang ter indikasi korupsi oleh pihak panitia masuk kantong pemerataan dapur untuk setiap sekolah infrastruktur agar mbak tidak basi yang masak tentu harus tahu gizi yang benar dan mendata anak yang mungkin mempunyai alergi terhadap suatu bahan tertentu transparansi pendanaan dan dapur mbak bisa di awasi publik masyarakat di tetap kan standar porsi per anak seluruh indonesia yang sesui untuk mencukupi gizi bisa berubah menu asalkan tetap memenuhi gizi anak,"['sebuah', 'masalah', 'dana', 'yang', 'ter', 'indikasi', 'korupsi', 'oleh', 'pihak', 'panitia', 'masuk', 'kantong', 'pemerataan', 'dapur', 'untuk', 'setiap', 'sekolah', 'infrastruktur', 'agar', 'mbak', 'tidak', 'basi', 'yang', 'masak', 'tentu', 'harus', 'tahu', 'gizi', 'yang', 'benar', 'dan', 'mendata', 'anak', 'yang', 'mungkin', 'mempunyai', 'alergi', 'terhadap', 'suatu', 'bahan', 'tertentu', 'transparansi', 'pendanaan', 'dan', 'dapur', 'mbak', 'bisa', 'di', 'awasi', 'publik', 'masyarakat', 'di', 'tetap', 'kan', 'standar', 'porsi', 'per', 'anak', 'seluruh', 'indonesia', 'yang', 'sesui', 'untuk', 'mencukupi', 'gizi', 'bisa', 'berubah', 'menu', 'asalkan', 'tetap', 'memenuhi', 'gizi', 'anak']","['buah', 'masalah', 'dana', 'yang', 'ter', 'indikasi', 'korupsi', 'oleh', 'pihak', 'panitia', 'masuk', 'kantong', 'perata', 'dapur', 'untuk', 'tiap', 'sekolah', 'infrastruktur', 'agar', 'mbak', 'tidak', 'basi', 'yang', 'masak', 'tentu', 'harus', 'tahu', 'gizi', 'yang', 'benar', 'dan', 'data', 'anak', 'yang', 'mungkin', 'punya', 'alergi', 'hadap', 'suatu', 'bahan', 'tentu', 'transparansi', 'dana', 'dan', 'dapur', 'mbak', 'bisa', 'di', 'awas', 'publik', 'masyarakat', 'di', 'tetap', 'kan', 'standar', 'porsi', 'per', 'anak', 'seluruh', 'indonesia', 'yang', 'sesui', 'untuk', 'cukup', 'gizi', 'bisa', 'ubah', 'menu', 'asal', 'tetap', 'penuh', 'gizi', 'anak']"
@ARrvrraazf,2025-09-27T00:09:36Z,"Apapun yang berbau duit, kemungkinan ada peluang korupsi.😂","Apapun yang berbau duit, kemungkinan ada peluang korupsi.","apapun yang berbau duit, kemungkinan ada peluang korupsi.",apapun yang berbau duit kemungkinan ada peluang korupsi,apapun yang berbau uang kemungkinan ada peluang korupsi,"['apapun', 'yang', 'berbau', 'uang', 'kemungkinan', 'ada', 'peluang', 'korupsi']","['apa', 'yang', 'bau', 'uang', 'mungkin', 'ada', 'peluang', 'korupsi']"
@ahmadrifai8303,2025-09-27T00:09:15Z,Prabowo : Peduli apa gwejh 😛😜🤪,Prabowo : Peduli apa gwejh ,prabowo : peduli apa gwejh ,prabowo  peduli apa gwejh ,prabowo peduli apa gwejh,"['prabowo', 'peduli', 'apa', 'gwejh']","['prabowo', 'peduli', 'apa', 'gwejh']"
@m1-series-kun,2025-09-27T00:08:11Z,Woooyyy<br><br>Sedari awal nih program udh bermasalah. Ini program politik ! ABS.,WoooyyySedari awal nih program udh bermasalah. Ini program politik ! ABS.,woooyyysedari awal nih program udh bermasalah. ini program politik ! abs.,woooyyysedari awal nih program udh bermasalah ini program politik  abs,woooyyysedari awal ini program sudah bermasalah ini program politik habis,"['woooyyysedari', 'awal', 'ini', 'program', 'sudah', 'bermasalah', 'ini', 'program', 'politik', 'habis']","['woooyyysedari', 'awal', 'ini', 'program', 'sudah', 'masalah', 'ini', 'program', 'politik', 'habis']"
@salman_akunke2nya,2025-09-27T00:08:02Z,Pasti yang buat nya si giant 😹😹😹😹,Pasti yang buat nya si giant ,pasti yang buat nya si giant ,pasti yang buat nya si giant ,pasti yang buat ya sih giant,"['pasti', 'yang', 'buat', 'ya', 'sih', 'giant']","['pasti', 'yang', 'buat', 'ya', 'sih', 'giant']"
@LIANANGIO,2025-09-27T00:07:24Z,"jangankan dapat, kabar udah kesebar disini aja ga ada","jangankan dapat, kabar udah kesebar disini aja ga ada","jangankan dapat, kabar udah kesebar disini aja ga ada",jangankan dapat kabar udah kesebar disini aja ga ada,jangankan dapat kabar sudah kesebar disini saja tidak ada,"['jangankan', 'dapat', 'kabar', 'sudah', 'kesebar', 'disini', 'saja', 'tidak', 'ada']","['jangan', 'dapat', 'kabar', 'sudah', 'sebar', 'sini', 'saja', 'tidak', 'ada']"
@redhaalfadil67,2025-09-27T00:06:42Z,"Kalo boleh nebak sih, sengaja dibiarkan biar MBG ini jadi punya alasan untuk di stop, biar anggaran bisa di alihkan","Kalo boleh nebak sih, sengaja dibiarkan biar MBG ini jadi punya alasan untuk di stop, biar anggaran bisa di alihkan","kalo boleh nebak sih, sengaja dibiarkan biar mbg ini jadi punya alasan untuk di stop, biar anggaran bisa di alihkan",kalo boleh nebak sih sengaja dibiarkan biar mbg ini jadi punya alasan untuk di stop biar anggaran bisa di alihkan,kalau boleh nebak sih sengaja dibiarkan biar mbak ini jadi punya alasan untuk di berhenti biar anggaran bisa di alihkan,"['kalau', 'boleh', 'nebak', 'sih', 'sengaja', 'dibiarkan', 'biar', 'mbak', 'ini', 'jadi', 'punya', 'alasan', 'untuk', 'di', 'berhenti', 'biar', 'anggaran', 'bisa', 'di', 'alihkan']","['kalau', 'boleh', 'nebak', 'sih', 'sengaja', 'biar', 'biar', 'mbak', 'ini', 'jadi', 'punya', 'alas', 'untuk', 'di', 'henti', 'biar', 'anggar', 'bisa', 'di', 'alih']"
@Arkaptr,2025-09-27T00:04:03Z,Semangkanya dipotong korupsi makanya jadi tipis gitu😹😹,Semangkanya dipotong korupsi makanya jadi tipis gitu,semangkanya dipotong korupsi makanya jadi tipis gitu,semangkanya dipotong korupsi makanya jadi tipis gitu,semangkanya dipotong korupsi makanya jadi tipis begitu,"['semangkanya', 'dipotong', 'korupsi', 'makanya', 'jadi', 'tipis', 'begitu']","['semangka', 'potong', 'korupsi', 'makanya', 'jadi', 'tipis', 'begitu']"
@rama-ard345,2025-09-27T00:02:53Z,"Dh di bilang presiden tolol . Kalo mau semua lancar buat pembangunan ekonomi atau pembangunan apapun itu , fokusin dulu berantas koruptor todddd , koruptor masih aja di kasih simpati bego bego","Dh di bilang presiden tolol . Kalo mau semua lancar buat pembangunan ekonomi atau pembangunan apapun itu , fokusin dulu berantas koruptor todddd , koruptor masih aja di kasih simpati bego bego","dh di bilang presiden tolol . kalo mau semua lancar buat pembangunan ekonomi atau pembangunan apapun itu , fokusin dulu berantas koruptor todddd , koruptor masih aja di kasih simpati bego bego",dh di bilang presiden tolol  kalo mau semua lancar buat pembangunan ekonomi atau pembangunan apapun itu  fokusin dulu berantas koruptor todddd  koruptor masih aja di kasih simpati bego bego,sudah di bilang presiden bodoh kalau mau semua lancar buat pembangunan ekonomi atau pembangunan apapun itu fokusin dulu berantas koruptor todddd koruptor masih saja di kasih simpati bodoh bodoh,"['sudah', 'di', 'bilang', 'presiden', 'bodoh', 'kalau', 'mau', 'semua', 'lancar', 'buat', 'pembangunan', 'ekonomi', 'atau', 'pembangunan', 'apapun', 'itu', 'fokusin', 'dulu', 'berantas', 'koruptor', 'todddd', 'koruptor', 'masih', 'saja', 'di', 'kasih', 'simpati', 'bodoh', 'bodoh']","['sudah', 'di', 'bilang', 'presiden', 'bodoh', 'kalau', 'mau', 'semua', 'lancar', 'buat', 'bangun', 'ekonomi', 'atau', 'bangun', 'apa', 'itu', 'fokusin', 'dulu', 'berantas', 'koruptor', 'todddd', 'koruptor', 'masih', 'saja', 'di', 'kasih', 'simpati', 'bodoh', 'bodoh']"
@navaa19,2025-09-27T00:01:06Z,Bang itu MBC nya baru di sekolah negri?,Bang itu MBC nya baru di sekolah negri?,bang itu mbc nya baru di sekolah negri?,bang itu mbc nya baru di sekolah negri,kakak itu mbc ya baru di sekolah negeri,"['kakak', 'itu', 'mbc', 'ya', 'baru', 'di', 'sekolah', 'negeri']","['kakak', 'itu', 'mbc', 'ya', 'baru', 'di', 'sekolah', 'negeri']"
@ranggaxxxx1918,2025-09-26T23:59:44Z,Buset semangka kek di buat dari kertas origami jir😂,Buset semangka kek di buat dari kertas origami jir,buset semangka kek di buat dari kertas origami jir,buset semangka kek di buat dari kertas origami jir,buset semangka seperti di buat dari kertas origami jir,"['buset', 'semangka', 'seperti', 'di', 'buat', 'dari', 'kertas', 'origami', 'jir']","['buset', 'semangka', 'seperti', 'di', 'buat', 'dari', 'kertas', 'origami', 'jir']"
@GMarvand789,2025-09-26T23:58:40Z,Yanh bikin menu ikan hiu goreng keknya tuh orang kebanyakan main raft sampai sampai kasih daging ikan hiu goreng....,Yanh bikin menu ikan hiu goreng keknya tuh orang kebanyakan main raft sampai sampai kasih daging ikan hiu goreng....,yanh bikin menu ikan hiu goreng keknya tuh orang kebanyakan main raft sampai sampai kasih daging ikan hiu goreng....,yanh bikin menu ikan hiu goreng keknya tuh orang kebanyakan main raft sampai sampai kasih daging ikan hiu goreng,yanh bikin menu ikan hiu goreng kayaknya itu orang kebanyakan main raft sampai sampai kasih daging ikan hiu goreng,"['yanh', 'bikin', 'menu', 'ikan', 'hiu', 'goreng', 'kayaknya', 'itu', 'orang', 'kebanyakan', 'main', 'raft', 'sampai', 'sampai', 'kasih', 'daging', 'ikan', 'hiu', 'goreng']","['yanh', 'bikin', 'menu', 'ikan', 'hiu', 'goreng', 'kayak', 'itu', 'orang', 'banyak', 'main', 'raft', 'sampai', 'sampai', 'kasih', 'daging', 'ikan', 'hiu', 'goreng']"
@RimuruTempest-dv4ho,2025-09-26T23:57:36Z,"Emang dasarnya standar ganda,ga mau dapet pemimpin yang korupsi,pas dapet duit gede dikit langsung jadi musang,mereka bukan marah gara gara korupsi,tapi ga kebagian hasil korupsi.Kalo pengin pemimpin yang jujur menurut gw pilih pemimpin yang ngadain bansos(tiba tiba) dengan alasan.Kalian terima aja bansosnya terus cari kandidat lain yang ga ngadain event gede pas mau nyalon","Emang dasarnya standar ganda,ga mau dapet pemimpin yang korupsi,pas dapet duit gede dikit langsung jadi musang,mereka bukan marah gara gara korupsi,tapi ga kebagian hasil korupsi.Kalo pengin pemimpin yang jujur menurut gw pilih pemimpin yang ngadain bansos(tiba tiba) dengan alasan.Kalian terima aja bansosnya terus cari kandidat lain yang ga ngadain event gede pas mau nyalon","emang dasarnya standar ganda,ga mau dapet pemimpin yang korupsi,pas dapet duit gede dikit langsung jadi musang,mereka bukan marah gara gara korupsi,tapi ga kebagian hasil korupsi.kalo pengin pemimpin yang jujur menurut gw pilih pemimpin yang ngadain bansos(tiba tiba) dengan alasan.kalian terima aja bansosnya terus cari kandidat lain yang ga ngadain event gede pas mau nyalon",emang dasarnya standar gandaga mau dapet pemimpin yang korupsipas dapet duit gede dikit langsung jadi musangmereka bukan marah gara gara korupsitapi ga kebagian hasil korupsikalo pengin pemimpin yang jujur menurut gw pilih pemimpin yang ngadain bansostiba tiba dengan alasankalian terima aja bansosnya terus cari kandidat lain yang ga ngadain event gede pas mau nyalon,memang dasarnya standar gandaga mau dapat pemimpin yang korupsipas dapat uang gede dikit langsung jadi musangmereka bukan marah gara gara korupsitapi tidak kebagian hasil korupsikalo ingin pemimpin yang jujur menurut aku pilih pemimpin yang mengadakan bansostiba tiba dengan alasankalian terima saja bansosnya terus cari kandidat lain yang tidak mengadakan acara gede pas mau nyalon,"['memang', 'dasarnya', 'standar', 'gandaga', 'mau', 'dapat', 'pemimpin', 'yang', 'korupsipas', 'dapat', 'uang', 'gede', 'dikit', 'langsung', 'jadi', 'musangmereka', 'bukan', 'marah', 'gara', 'gara', 'korupsitapi', 'tidak', 'kebagian', 'hasil', 'korupsikalo', 'ingin', 'pemimpin', 'yang', 'jujur', 'menurut', 'aku', 'pilih', 'pemimpin', 'yang', 'mengadakan', 'bansostiba', 'tiba', 'dengan', 'alasankalian', 'terima', 'saja', 'bansosnya', 'terus', 'cari', 'kandidat', 'lain', 'yang', 'tidak', 'mengadakan', 'acara', 'gede', 'pas', 'mau', 'nyalon']","['memang', 'dasar', 'standar', 'gandaga', 'mau', 'dapat', 'pimpin', 'yang', 'korupsipas', 'dapat', 'uang', 'gede', 'dikit', 'langsung', 'jadi', 'musangmereka', 'bukan', 'marah', 'gara', 'gara', 'korupsitapi', 'tidak', 'bagi', 'hasil', 'korupsikalo', 'ingin', 'pimpin', 'yang', 'jujur', 'turut', 'aku', 'pilih', 'pimpin', 'yang', 'ada', 'bansostiba', 'tiba', 'dengan', 'alasankalian', 'terima', 'saja', 'bansosnya', 'terus', 'cari', 'kandidat', 'lain', 'yang', 'tidak', 'ada', 'acara', 'gede', 'pas', 'mau', 'nyalon']"
@tembak-p8p,2025-09-26T23:57:08Z,Bukan bang tapi namanya makanan beracun eek super eek geratis,Bukan bang tapi namanya makanan beracun eek super eek geratis,bukan bang tapi namanya makanan beracun eek super eek geratis,bukan bang tapi namanya makanan beracun eek super eek geratis,bukan kakak tapi namanya makanan beracun beol sangat beol geratis,"['bukan', 'kakak', 'tapi', 'namanya', 'makanan', 'beracun', 'beol', 'sangat', 'beol', 'geratis']","['bukan', 'kakak', 'tapi', 'nama', 'makan', 'racun', 'beol', 'sangat', 'beol', 'gerat']"
@MuhamadMuhamadarvy-hu5xb,2025-09-26T23:56:21Z,Aduh indonesia kekurangan orang jujur jir cape2😅,Aduh indonesia kekurangan orang jujur jir cape,aduh indonesia kekurangan orang jujur jir cape,aduh indonesia kekurangan orang jujur jir cape,aduh indonesia kekurangan orang jujur jir kesal,"['aduh', 'indonesia', 'kekurangan', 'orang', 'jujur', 'jir', 'kesal']","['aduh', 'indonesia', 'kurang', 'orang', 'jujur', 'jir', 'kesal']"
@ArifSetiawan-yk2vt,2025-09-26T23:56:10Z,"Sama seperti pejabat di setiap daerah, ada yg jujur dan ada yang korupsi😂","Sama seperti pejabat di setiap daerah, ada yg jujur dan ada yang korupsi","sama seperti pejabat di setiap daerah, ada yg jujur dan ada yang korupsi",sama seperti pejabat di setiap daerah ada yg jujur dan ada yang korupsi,sama seperti pejabat di setiap daerah ada yang jujur dan ada yang korupsi,"['sama', 'seperti', 'pejabat', 'di', 'setiap', 'daerah', 'ada', 'yang', 'jujur', 'dan', 'ada', 'yang', 'korupsi']","['sama', 'seperti', 'jabat', 'di', 'tiap', 'daerah', 'ada', 'yang', 'jujur', 'dan', 'ada', 'yang', 'korupsi']"
@bayhaqiekid2740,2025-09-26T23:50:45Z,bang. menurutku ikan hiu itu enak loh bang,bang. menurutku ikan hiu itu enak loh bang,bang. menurutku ikan hiu itu enak loh bang,bang menurutku ikan hiu itu enak loh bang,kakak menurutku ikan hiu itu enak loh kakak,"['kakak', 'menurutku', 'ikan', 'hiu', 'itu', 'enak', 'loh', 'kakak']","['kakak', 'turut', 'ikan', 'hiu', 'itu', 'enak', 'loh', 'kakak']"
@Winarni-r6r,2025-09-26T23:49:33Z,MBG= Makan Beracun tanpa Gizi,MBG= Makan Beracun tanpa Gizi,mbg= makan beracun tanpa gizi,mbg makan beracun tanpa gizi,mbak makan beracun tanpa gizi,"['mbak', 'makan', 'beracun', 'tanpa', 'gizi']","['mbak', 'makan', 'racun', 'tanpa', 'gizi']"
