author,published_at,text
@Majapahitkematian,2025-10-03T12:06:54Z,M MAKAN <br>B BELATUNG <br>G GRATIS <br>Dah tau kan 🗿
@fanhayo_go,2025-10-03T11:33:06Z,MBG kalau gua pikir makanan beracun gratis jirr
@putrooorwr,2025-10-03T11:31:08Z,B for beracun 😂
@d3n1permana,2025-10-03T11:02:20Z,Daripada makan gratis mending duit nya aja bagi2😅
@userememaja11,2025-10-03T10:53:12Z,"udahlah gaes.. nikmati aja, kalo semua orang baik, trus neraka buat apa njir... haha"
@aryanor8036,2025-10-03T10:52:14Z,bang kata guru ku yang masak itu nya malam bukan siang kaya juga dah basi karna dah kelamaan makanya makan bergizi nya itu harus pagi tapi kalo rasanya ga enak buang aja jangan di paksain kalo Semaka gatau ko bisa kaya gitu
@arinurhandi,2025-10-03T10:46:07Z,"Curiga klo pemilik dapur mbg anggota dpr/dprd. Cuma asal2an masak yg penting dapet duit proyek. <br>Ane seumur2 hampir tiap hari makan di warteg, somay gerobak, dan bakso pinggir comberan engga pernah tuh keracunan makanan"
@uuduehuehebd1898,2025-10-03T09:35:17Z,Orang baik:Makan bergizi gratis<br>Gw bilek:Makan beracun gratis🗿
@RafrandraSebastian,2025-10-03T09:23:44Z,MBG Bnya apa ya beracun
@delaanggraeni3868,2025-10-03T09:20:03Z,Beruntung bgt yang depet mbg enak🥲
@islamopucek,2025-10-03T09:19:36Z,Udah si mbg itu fokusin aja buat wilayah&quot; Terplosok. Di kota kota mah gausah aja dulu. Anggaran nya di naikin per porsi nya. Yang pentinf anak sekolah di plosok bisa dapat gizi yang baik.
@djohann226,2025-10-03T09:14:03Z,Tipisnya tuh semangka setipis harapan orang tua 😅
@allgame-rd6mk,2025-10-03T09:07:24Z,NEPAL KAN BAHLIL
@AlfaridziKhairandra,2025-10-03T08:49:05Z,Makan bergizi gratis❌️<br>Makan beracun gratis✅️
@SifaAnisa-mh9cs,2025-10-03T08:40:42Z,Yap bang teman ku keracunan makanan MBG gara gara ayam nya tadi ada belatung jir masuk rumah sakit dia Kasina GK sih<br><br><br><br><br>sekian terima kasih <br><br><br><br><br><br><br>like
@RevlectifeClimb1,2025-10-03T08:20:00Z,Plankton bilek wah di Indonesia ada makanan kaya chum🗿🗿
@Cintya_Rizky,2025-10-03T07:44:22Z,"Aku pernah dapat MBG ayam geprek, tapi gak bersih malah kayak ada merah² kayak darah gitu🙃"
@maherzael-baraka372,2025-10-03T07:25:18Z,Mbh Dari uang rakyat
@AlthafPratama-ur8qv,2025-10-03T06:42:38Z,Temen aku habis mati
@noviayu4988,2025-10-03T06:40:36Z,Untung sekolah akuh belum dapat mbg
@jaidanabdul4994,2025-10-03T05:53:44Z,mbg sinkatan makan beracun gratis
@isya3393,2025-10-03T05:47:48Z,MBG= MAKANAN BERACUN GRATIS😂😂
